bike_station_name,bike_station_lat,bike_station_lon,museum_name,museum_lat,museum_lon,distance
Langkaia,59.9080552,10.7479977,Filmmuseet,59.909726,10.745849,236
Spikersuppa Vest,59.91372007130073,10.735886645853412,"The Viking Planet Oslo: Hours, Address",59.913194,10.734102,115
Vippetangen vest,59.903989,10.740627,Forsvarsmuseet,59.904487,10.740562,96
Kjeld Stubs gate,59.912711,10.735595,"The Viking Planet Oslo: Hours, Address",59.913194,10.734102,98
Studentparlamentet,59.920852,10.733357,Litteraturhuset - The House of Literature,59.920356,10.728641,268
Kirkeveien,59.93347989334691,10.726294394131088,NRK Opplevelser,59.935664,10.728141,263
Elgsletta,59.91564920880896,10.761724502548104,Goethe-Institut Tysk Kultursenter,59.913431,10.760719,248
St. Hanshaugen park nord,59.92979845370007,10.743540765932096,Arbeidermuseet,59.931013,10.756142,717
Kværnerveien,59.90591083488326,10.778592132296495,Gulli Museums Produkter Kjetil Gulli Hanssen,59.906564,10.768297,578
Bislett Stadion,59.925471317049954,10.73121932213806,Litteraturhuset - The House of Literature,59.920356,10.728641,586
Tordenskiolds gate,59.91177629920927,10.735113005880237,Norsk Speidermuseum,59.911582,10.737038,109
Griffenfeldts gate,59.9337026,10.7519299,Arbeidermuseet,59.931013,10.756142,398
Munkegata,59.908255,10.7678,Gulli Museums Produkter Kjetil Gulli Hanssen,59.906564,10.768297,189
Sagene bussholdeplass,59.937743,10.751648,Arbeidermuseet,59.931013,10.756142,808
Bjerregaards gate,59.925488,10.746058,Cold ancient house,59.923851,10.75395,475
Diakonhjemmet,59.9363277,10.7054333,Barnekunstmuseum,59.935515,10.711091,322
St. Hanshaugen park sør,59.924821,10.739909,Museum of Decorative Arts and Design (Kunstindustrimuseet) Oslo,59.918367,10.743027,737
Rostockgata,59.90691970255054,10.760311802881915,Munch Museum (Munchmuseet),59.905729,10.755333,307
Dokkveien,59.910974,10.7277001,PNN,59.911631,10.72742,74
Karenslyst allé,59.92033,10.683814,Stiftelsen Fulehuk Fyr,59.926413,10.695111,923
Norsk Folkemuseum,59.907674,10.686843,Folkemuseets Pottemakeri Kjærgaar,59.907492,10.686532,26
Vestre Aker Kirke,59.936006155097004,10.73190903696522,NRK Opplevelser,59.935664,10.728141,213
Dælenenggata,59.9287502718149,10.767546377298158,Ringnes Ølsenter,59.930276,10.760755,404
Suhms gate,59.929419,10.726195,Sporveismuseet,59.931379,10.716511,597
Torshovdalen øst,59.93285662158759,10.777633472422016,Ringnes Ølsenter,59.930276,10.760755,975
Oslo Plaza,59.91218291295141,10.7544337247013,Kulturetaten,59.91408,10.751037,283
Bryn Brannstasjon,59.912716333310414,10.813758421127346,"Galleri Tonne, Malerikonservator",59.911235,10.806342,455
Oslo Handelsgymnasium,59.914306,10.720202,Norsk Tryllemuseum,59.911178,10.720095,174
Bjørvika,59.909006,10.75618,Munch Museum (Munchmuseet),59.905729,10.755333,359
Landstads gate,59.929005,10.7496755,Arbeidermuseet,59.931013,10.756142,419
Hydroparken,59.914145,10.715505,Norsk Tryllemuseum,59.911178,10.720095,313
Skarpsnoparken,59.914871,10.701037,Oscarshall,59.910266,10.692245,708
Frøen T-bane,59.9347352,10.7096985,Barnekunstmuseum,59.935515,10.711091,106
Hausmanns gate,59.915451,10.758328,Jødisk Museum i Oslo,59.916521,10.755344,188
Lille Grensen,59.9138973,10.7423101,Paradox Museum,59.914469,10.739264,181
Tøyenbekken,59.9115945,10.7617736,Hanen,59.9128,10.76204,134
Blindern T-Bane,59.94025210701875,10.716723884520064,Barnekunstmuseet,59.935733,10.711642,576
Vår Frelsers gravlund,59.91944043984847,10.7437646218726,Museum of Decorative Arts and Design (Kunstindustrimuseet) Oslo,59.918367,10.743027,126
Tannlegehøyskolen,59.932383,10.741475,NRK Opplevelser,59.935664,10.728141,827
Salt,59.90692216719828,10.746530272588243,Filmmuseet,59.909726,10.745849,321
Kontraskjæret,59.910242,10.73857,Artgate,59.910877,10.737553,90
Dyvekes bru,59.905323,10.7689579,Gulli Museums Produkter Kjetil Gulli Hanssen,59.906564,10.768297,142
Hoffsveien,59.923898,10.6760339,Stiftelsen Edvard Munchs Atelier,59.929196,10.670258,670
Jordalgata,59.908227,10.781088,Gulli Museums Produkter Kjetil Gulli Hanssen,59.906564,10.768297,736
Botanisk Hage vest,59.92012811804052,10.768875408563598,Geologisk museum,59.920153,10.770988,117
Bak Niels Treschows hus sør,59.94247260310697,10.723715245368956,NRK Opplevelser,59.935664,10.728141,795
Sjøsiden 2 ved fontenen,59.91018085263352,10.751698750995615,Northern Lights Xperium,59.911635,10.747256,299
Colbjørnsens gate,59.91731888534716,10.716909039918278,Norsk Tryllemuseum,59.911178,10.720095,544
Grønlands torg,59.91252,10.76224,Hanen,59.9128,10.76204,33
Ringnes Park,59.92843404417577,10.75943014633117,Ringnes Ølsenter,59.930276,10.760755,215
Sentrum Scene,59.91546786564256,10.751140873016311,Kulturetaten,59.91408,10.751037,154
Hallings gate,59.922777,10.738655,Museum of Decorative Arts and Design (Kunstindustrimuseet) Oslo,59.918367,10.743027,547
Lindern,59.9358883,10.7350062,NRK Opplevelser,59.935664,10.728141,382
Thereses gate,59.9261462,10.7310355,Litteraturhuset - The House of Literature,59.920356,10.728641,657
Klingenberggata,59.913150534075015,10.732281291700131,"The Viking Planet Oslo: Hours, Address",59.913194,10.734102,101
Uranienborgparken,59.922485,10.720896,Litteraturhuset - The House of Literature,59.920356,10.728641,491
Myraløkka Øst,59.937205,10.7605813,Arbeidermuseet,59.931013,10.756142,746
Krebs' gate,59.935995,10.765413,Ringnes Ølsenter,59.930276,10.760755,688
